ID,x,y,P,ETo.FAO,ETo.HAM,ETo.HAR,ETo.BLA,ETo.AVG,ETa.HAM,ETa.HAR,ETa.BLA,ETa.AVG,RD.HAM,RS,RS100,LULC_5,random
154244,-88.94583333,18.25416667,1275,1505,1180.333008,1324.71814,1436.097656,1265.587891,1032.445923,1072.197876,1143.345215,1082.663005,-221.8020477,495.8815918,370,20404,1
154407,-91.17916667,18.24583333,1606,1546,1274.866089,1405.955933,1502.511841,1350.748006,1045.74939,1084.959717,1139.487793,1090.065633,-327.5959778,741.4493408,755,10201,1
154422,-91.05416667,18.24583333,1406,1547,1263.118652,1414.098145,1494.06543,1340.100911,1020.197327,1066.286621,1111.688477,1066.057475,-327.9309082,628.9073486,564,10201,1
154519,-90.24583333,18.24583333,1225,1547,1248.117676,1416.044189,1483.647949,1326.627767,1084.31897,1136.812134,1164.530273,1128.553792,-306.2771912,94.55975342,383,20404,1
154554,-89.95416667,18.24583333,1186,1523,1195.517456,1379.298828,1446.046753,1279.027222,1054.864014,1111.224243,1136.909668,1100.999308,-261.9842224,130.8480835,322,20404,1
154714,-88.62083333,18.24583333,1386,1502,1189.257813,1272.979614,1443.407349,1273.974325,1077.177979,1095.167725,1195.029297,1122.458333,-200.8331299,435.4571228,454,21007,1
154954,-90.22083333,18.2375,1222,1547,1243.482056,1410.428833,1480.711792,1322.558634,1082.616333,1133.931885,1163.014648,1126.520955,-302.7878418,92.55975342,377,20404,1
154986,-89.95416667,18.2375,1189,1523,1194.075195,1376.091431,1444.891357,1277.680583,1068.81665,1130.700073,1159.351318,1119.622681,-259.724762,59.52610016,323,20404,1
155102,-88.9875,18.2375,1256,1505,1185.021729,1328.973999,1439.389648,1269.811035,1030.799072,1070.566772,1139.605225,1080.32369,-228.5204773,479.8815918,356,20807,1
155259,-91.27916667,18.22916667,1798,1546,1283.278687,1398.820557,1508.876221,1358.477865,1049.261475,1082.189697,1140.149658,1090.53361,-332.7016296,934.4493408,948,20404,1
155386,-90.22083333,18.22916667,1225,1547,1243.070679,1409.298218,1480.460327,1322.200562,1069.377808,1115.943481,1143.912842,1109.74471,-300.3902283,171.8480835,379,20404,1
155416,-89.97083333,18.22916667,1204,1523,1186.985107,1373.178223,1439.784302,1271.251506,1060.958008,1123.391235,1150.436035,1111.595093,-248.8673553,116.086441,332,20404,1
155551,-88.84583333,18.22916667,1314,1505,1183.70105,1312.052979,1438.812988,1268.738363,1048.022095,1081.57312,1163.894409,1097.829875,-218.7149353,445.7182617,401,20404,1
155643,-91.6625,18.22083333,1636,1536,1293.817261,1365.781982,1516.193604,1367.942708,1141.733521,1158.686279,1254.945679,1185.121826,-246.1291809,657.7485352,680,20404,1
155684,-91.32083333,18.22083333,1822,1546,1285.406616,1394.47522,1510.330811,1360.381348,1050.730347,1079.864502,1142.208252,1090.934367,-325.7513123,991.921875,962,10201,1
155903,-89.49583333,18.22083333,1120,1496,1174.907593,1357.680908,1431.123657,1260.312948,1015.134033,1069.35022,1103.190063,1062.558105,-256.2185364,233.4571381,252,20404,1
156000,-88.6875,18.22083333,1371,1514,1192.707642,1291.881226,1445.602173,1277.005819,1055.624878,1073.321167,1171.611816,1100.185954,-212.2609558,558.3123779,443,10102,1
156003,-88.6625,18.22083333,1381,1502,1196.311035,1286.287354,1448.215332,1280.279134,1064.752075,1077.914185,1181.32019,1107.995483,-210.8644867,523.8703003,450,20702,1
156054,-91.79583333,18.2125,1523,1533,1306.925781,1381.375366,1526.895874,1380.249146,1136.942017,1167.322021,1241.939331,1182.06779,-246.5727234,689.77771,564,10101,1
156377,-89.10416667,18.2125,1208,1508,1184.19043,1337.906494,1438.508057,1268.962972,1041.583862,1088.73291,1151.249023,1093.855265,-235.6217041,300.4571228,319,20404,1
156629,-90.55416667,18.20416667,1318,1561,1268.751465,1424.784912,1498.185913,1345.229614,1064.061401,1109.526123,1154.769775,1109.452433,-320.3920593,341.6893311,475,20404,1
156739,-89.6375,18.20416667,1164,1498,1155.112061,1340.341431,1416.331787,1242.185303,1016.315796,1075.874634,1112.813843,1068.334757,-225.6648254,314.3230591,281,20404,1
156760,-89.4625,18.20416667,1098,1496,1187.144409,1365.815552,1440.174805,1271.487874,1006.138184,1056.59314,1089.044434,1050.591919,-279.653656,223.4571381,242,20404,1
156875,-92.04583333,18.19583333,1858,1525,1317.890015,1335.126953,1531.782837,1389.187622,1198.189575,1184.899048,1340.379639,1241.156087,-208.9843292,807.0291138,826,21006,1
157057,-90.52916667,18.19583333,1330,1561,1246.054932,1411.940186,1482.345825,1324.818563,1041.214478,1088.780518,1132.174316,1087.389771,-295.1365662,509.3230591,476,10201,1
157122,-89.9875,18.19583333,1208,1523,1195.257324,1374.930054,1446.124146,1278.879598,1064.707764,1123.321167,1151.596313,1113.208415,-254.3551025,121.086441,336,20404,1
157285,-92.14583333,18.1875,1944,1525,1318.494507,1331.177856,1532.3125,1389.767171,1265.388184,1261.767578,1441.098511,1322.751424,-199.4226532,29.5048008,894,20405,1
157370,-91.4375,18.1875,1771,1541,1287.097778,1382.077759,1511.389771,1361.861776,1087.33313,1109.888184,1190.889282,1129.370199,-287.1741333,915.9086304,864,20807,1
157413,-91.07916667,18.1875,1413,1547,1264.293457,1409.87854,1495.013428,1341.200114,1029.462769,1074.084106,1122.160522,1075.235799,-319.6394958,626.8887939,561,10201,1
157562,-89.8375,18.1875,1167,1523,1191.831543,1363.550781,1443.53418,1275.732422,1030.474365,1076.405273,1109.105469,1071.995036,-257.768219,274.7485657,297,20702,1
157585,-89.64583333,18.1875,1167,1498,1156.036133,1337.935303,1416.965576,1243.012614,1017.819763,1076.279297,1115.140747,1069.746602,-225.0068512,315.3230591,282,20404,1
157653,-89.07916667,18.1875,1223,1508,1182.276001,1331.529785,1437.080444,1267.210815,1036.872559,1081.151611,1146.660889,1088.228353,-229.3567963,370.0985413,327,20404,1
157788,-91.42916667,18.17916667,1783,1541,1287.467896,1382.775269,1511.608643,1362.181478,1125.232422,1153.606934,1239.088623,1172.64266,-286.5622559,649.9099731,875,20404,1
157797,-91.35416667,18.17916667,1826,1541,1280.52002,1389.706909,1506.633667,1355.891235,1069.063477,1097.983276,1173.192139,1113.412964,-291.3685913,1032.206177,926,30000,1
157911,-90.40416667,18.17916667,1283,1555,1254.432739,1412.046997,1488.529419,1332.464966,1048.347778,1092.739502,1137.026855,1092.704712,-301.513855,431.5106506,434,20702,1
158365,-90.09583333,18.17083333,1256,1530,1195.939941,1390.58606,1446.049561,1279.309814,1050.386108,1106.119629,1131.551392,1096.019043,-227.8464355,441.8888245,364,20702,1
158426,-89.5875,18.17083333,1169,1498,1153.067871,1335.475708,1414.718506,1240.284749,1018.79834,1079.338745,1119.811646,1072.649577,-219.9812317,313.3230591,280,20404,1
158614,-91.4875,18.1625,1754,1542,1288.308838,1379.640137,1512.198486,1362.938721,1140.870239,1169.696899,1257.138672,1189.23527,-269.2503052,597.9099731,827,20404,1
158638,-91.2875,18.1625,1784,1550,1285.369629,1396.528198,1510.045044,1360.261434,1109.031372,1145.401489,1219.724731,1158.052531,-305.7177124,652.8858032,896,20201,1
158717,-90.62916667,18.1625,1360,1560,1269.318604,1418.622925,1498.601685,1345.746297,1090.369873,1136.040039,1185.915649,1137.441854,-310.2554932,248.828949,505,20404,1
158772,-90.17083333,18.1625,1251,1540,1220.717163,1389.73877,1464.441528,1301.958618,1080.63269,1131.984741,1161.484253,1124.700562,-261.300354,174.8480835,381,20404,1
158835,-89.64583333,18.1625,1170,1501,1159.120361,1336.849121,1419.218384,1245.819702,1022.58313,1080.756958,1120.25647,1074.532186,-223.3190308,316.3230591,283,20404,1
158861,-89.42916667,18.1625,1119,1503,1166.966431,1353.24939,1425.923096,1253.285319,973.9067993,1041.061279,1067.823608,1027.597229,-266.9608765,408.6450806,265,10101,1
159421,-91.64583333,18.14583333,1708,1543,1293.738647,1374.829102,1516.309204,1367.928833,1184.470947,1217.352539,1318.700317,1240.174601,-237.5704956,360.9329224,736,20404,1
159543,-90.57083333,18.14583333,1339,1560,1268.220215,1417.395752,1497.944824,1344.795085,1044.685547,1083.478882,1130.79126,1086.318563,-308.0279541,562.8887939,485,20404,1
159630,-89.84583333,18.14583333,1184,1524,1186.665649,1355.196289,1439.70874,1271.013346,1062.791748,1121.671143,1161.516602,1115.326497,-247.1961823,85.08644104,305,20404,1
159639,-89.77083333,18.14583333,1176,1510,1174.730225,1343.857666,1431.083252,1260.181234,1059.557129,1121.639648,1165.521973,1115.572917,-236.3839264,68.08644104,293,20404,1
159790,-91.9625,18.1375,1831,1543,1311.03418,1349.150757,1527.674194,1383.247518,1226.794556,1236.044067,1383.927856,1282.255493,-203.8031311,355.6305237,795,10201,1
159804,-91.84583333,18.1375,1741,1543,1303.781982,1359.167114,1523.073853,1376.879272,1180.124756,1195.384766,1320.949097,1232.152873,-214.2217102,697.039978,723,21007,1
159816,-91.74583333,18.1375,1707,1541,1299.984619,1368.707153,1520.713623,1373.560954,1149.212524,1167.505005,1278.140747,1198.286092,-226.2899628,856.4602661,708,10101,1
159982,-90.30416667,18.1375,1280,1540,1236.707275,1394.4823,1475.960815,1316.458455,1090.240967,1138.208618,1179.129272,1135.859619,-268.5591431,189.1307831,415,20404,1
159992,-90.22083333,18.1375,1266,1540,1225.013306,1387.591919,1467.626953,1305.884521,1045.843994,1085.25293,1118.512695,1083.203206,-262.6114197,475.8888245,398,20702,1
160099,-89.32916667,18.1375,1179,1504,1166.553589,1330.084595,1425.317749,1252.808309,1026.740723,1082.934326,1142.802246,1084.159098,-232.5013885,271.4571228,290,20702,1
160307,-90.95416667,18.12916667,1401,1560,1273.006226,1415.963867,1501.101929,1349.038127,1055.422852,1100.234375,1149.876831,1101.844686,-313.5767212,533.9255371,536,20404,1
160436,-89.87916667,18.12916667,1188,1524,1192.049194,1358.13208,1443.722656,1275.940348,1064.234253,1121.116821,1160.15332,1115.168132,-252.2558289,90.43424225,311,20702,1
160540,-89.0125,18.12916667,1281,1516,1174.690186,1316.844604,1431.822388,1260.40092,1043.364746,1084.877075,1166.536987,1098.259603,-216.6199646,407.7182617,362,20404,1
160576,-88.7125,18.12916667,1396,1508,1188.903198,1294.852783,1443.332275,1273.712891,1061.84375,1095.39917,1199.858521,1119.033813,-209.1775818,500.3379517,446,20404,1
160581,-92.09583333,18.12083333,1964,1542,1318.882324,1341.249146,1532.532593,1390.09908,1215.654541,1207.313232,1367.283813,1263.417196,-188.6460876,894.7570801,902,10201,1
160662,-91.32916667,18.12083333,1826,1550,1282.951294,1392.225342,1508.124878,1358.009155,1097.720581,1126.917969,1205.051025,1143.229858,-271.9243774,957.9086304,906,10201,1
